NAME	TITLE	SCORE	
CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	1.5108507	
NSD2	nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766]	1.510841	
KNL1	kinetochore scaffold 1 [Source:HGNC Symbol;Acc:HGNC:24054]	1.5106941	
DEK	DEK proto-oncogene [Source:HGNC Symbol;Acc:HGNC:2768]	1.5002842	
HIP1	huntingtin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:4913]	1.4909393	
NIBAN1	niban apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16784]	1.4816638	
NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	1.4811509	
CREM	cAMP responsive element modulator [Source:HGNC Symbol;Acc:HGNC:2352]	1.4803023	
HMGN2	high mobility group nucleosomal binding domain 2 [Source:HGNC Symbol;Acc:HGNC:4986]	1.4778765	
CALM3	calmodulin 3 [Source:HGNC Symbol;Acc:HGNC:1449]	1.464587	
POLA1	DNA polymerase alpha 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9173]	1.4513817	
JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	1.4506141	
RAD51B	RAD51 paralog B [Source:HGNC Symbol;Acc:HGNC:9822]	1.4470328	
REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	1.4439398	
INCENP	inner centromere protein [Source:HGNC Symbol;Acc:HGNC:6058]	1.4292111	
NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	1.4243137	
SELENOH	selenoprotein H [Source:HGNC Symbol;Acc:HGNC:18251]	1.4232764	
NR4A3	nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]	1.420719	
IFITM3	interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]	1.414891	
DUSP16	dual specificity phosphatase 16 [Source:HGNC Symbol;Acc:HGNC:17909]	1.4128735	
NUCKS1	nuclear casein kinase and cyclin dependent kinase substrate 1 [Source:HGNC Symbol;Acc:HGNC:29923]	1.4125781	
COX17	cytochrome c oxidase copper chaperone COX17 [Source:HGNC Symbol;Acc:HGNC:2264]	1.4114299	
MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	1.4097096	
RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	1.402979	
ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	1.4014673	
LITAF	lipopolysaccharide induced TNF factor [Source:HGNC Symbol;Acc:HGNC:16841]	1.398452	
NDFIP1	Nedd4 family interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17592]	1.3976079	
HMMR	hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]	1.3832684	
