p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.53188927246879e-52	-0.606744887548226	0.018	0.127	8.17420451616549e-48	0	Gzmb
5.27044287875288e-52	0.395041620995191	0.726	0.556	1.70156248340537e-47	0	Raet1e
5.56638553999891e-52	0.404101831060669	0.823	0.704	1.79710757158865e-47	0	Ap3b1
6.41613917707708e-52	0.352698306016695	0.649	0.469	2.07145053331934e-47	0	Nr4a1
8.79765999556298e-52	-0.771431971772052	0.12	0.267	2.84032452956751e-47	0	Ly6a
1.14276036313082e-51	0.34371044992323	0.546	0.377	3.68940183236786e-47	0	Nf1
1.27870740828222e-51	0.276446288700438	0.99	0.897	4.12830686763916e-47	0	Junb
3.27390502344614e-51	-0.356963791400195	0.024	0.136	1.05698023681959e-46	0	Hist1h3c
8.58308710319809e-51	0.340084738311496	0.758	0.602	2.7710496712675e-46	0	Atp9b
9.1150836476657e-51	0.344270362927476	0.685	0.496	2.94280475564887e-46	0	Fosl2
9.39562172795239e-51	-0.358618521886389	0.048	0.171	3.03337647486943e-46	0	Cdk1
1.30594951113921e-50	-0.343742515933448	0.976	0.982	4.21625799671294e-46	0	Cd52
1.39421911130955e-50	-0.583225797731583	0.357	0.501	4.50123640086289e-46	0	Oprm1
1.49325023727353e-50	-1.60081830049402	0.362	0.482	4.8209583910376e-46	0	S100a6
