NAME	TITLE	SCORE	
PTPN22	protein tyrosine phosphatase non-receptor type 22 [Source:HGNC Symbol;Acc:HGNC:9652]	1.1515388	
C15orf48	chromosome 15 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29898]	1.1495341	
GALNT2	polypeptide N-acetylgalactosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:4124]	1.1458372	
MYO1E	myosin IE [Source:HGNC Symbol;Acc:HGNC:7599]	1.1443133	
CPD	carboxypeptidase D [Source:HGNC Symbol;Acc:HGNC:2301]	1.1411158	
PHLDA1	pleckstrin homology like domain family A member 1 [Source:HGNC Symbol;Acc:HGNC:8933]	1.1410146	
VMP1	vacuole membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29559]	1.139945	
BAZ1A	bromodomain adjacent to zinc finger domain 1A [Source:HGNC Symbol;Acc:HGNC:960]	1.1332587	
RAMP1	receptor activity modifying protein 1 [Source:HGNC Symbol;Acc:HGNC:9843]	1.1328366	
CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	1.1305451	
FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]	1.1263332	
ANGPTL2	angiopoietin like 2 [Source:HGNC Symbol;Acc:HGNC:490]	1.1249424	
COX8A	cytochrome c oxidase subunit 8A [Source:HGNC Symbol;Acc:HGNC:2294]	1.1221819	
PKM	pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]	1.1210649	
ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:19343]	1.1200767	
NR4A3	nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]	1.1185461	
ARPC3	actin related protein 2/3 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:706]	1.1183938	
GNG2	G protein subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:4404]	1.1067313	
MATK	megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]	1.1059238	
PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9388]	1.099795	
CKB	creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]	1.0982285	
GPR68	G protein-coupled receptor 68 [Source:HGNC Symbol;Acc:HGNC:4519]	1.0981562	
UCP2	uncoupling protein 2 [Source:HGNC Symbol;Acc:HGNC:12518]	1.0980326	
ATXN7L1	ataxin 7 like 1 [Source:HGNC Symbol;Acc:HGNC:22210]	1.0943536	
SMCO4	single-pass membrane protein with coiled-coil domains 4 [Source:HGNC Symbol;Acc:HGNC:24810]	1.0927953	
SDCBP2	syndecan binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15756]	1.0896182	
PRDM1	PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346]	1.087672	
MAST4	microtubule associated serine/threonine kinase family member 4 [Source:HGNC Symbol;Acc:HGNC:19037]	1.082475	
SKIL	SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897]	1.0819054	
N4BP1	NEDD4 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29850]	1.0773379	
SLC22A15	solute carrier family 22 member 15 [Source:HGNC Symbol;Acc:HGNC:20301]	1.0768069	
CST3	cystatin C [Source:HGNC Symbol;Acc:HGNC:2475]	1.0748916	
CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1.0746436	
IKZF3	IKAROS family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13178]	1.0723882	
OAZ1	ornithine decarboxylase antizyme 1 [Source:HGNC Symbol;Acc:HGNC:8095]	1.0721236	
ARID5B	AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]	1.07153	
RNF125	ring finger protein 125 [Source:HGNC Symbol;Acc:HGNC:21150]	1.0710884	
GNA15	G protein subunit alpha 15 [Source:HGNC Symbol;Acc:HGNC:4383]	1.0662282	
SPTY2D1	SPT2 chromatin protein domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26818]	1.0640459	
CYTH4	cytohesin 4 [Source:HGNC Symbol;Acc:HGNC:9505]	1.0633614	
UBL5	ubiquitin like 5 [Source:HGNC Symbol;Acc:HGNC:13736]	1.0596455	
HIVEP1	HIVEP zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4920]	1.0546768	
TNFRSF13B	TNF receptor superfamily member 13B [Source:HGNC Symbol;Acc:HGNC:18153]	1.0533254	
ARPC1B	actin related protein 2/3 complex subunit 1B [Source:HGNC Symbol;Acc:HGNC:704]	1.0525378	
MYL6	myosin light chain 6 [Source:HGNC Symbol;Acc:HGNC:7587]	1.0454316	
CTSA	cathepsin A [Source:HGNC Symbol;Acc:HGNC:9251]	1.0396737	
TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	1.0371851	
