NAME	TITLE	SCORE	
NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	1.4823512	
CBLB	Cbl proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:1542]	1.4768801	
TFF1	trefoil factor 1 [Source:HGNC Symbol;Acc:HGNC:11755]	1.4746716	
ABLIM3	actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132]	1.4569287	
IL18RAP	interleukin 18 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5989]	1.4516138	
MYO1E	myosin IE [Source:HGNC Symbol;Acc:HGNC:7599]	1.4247283	
ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	1.4241377	
TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1.4182816	
CCN4	cellular communication network factor 4 [Source:HGNC Symbol;Acc:HGNC:12769]	1.4151577	
TEX2	testis expressed 2 [Source:HGNC Symbol;Acc:HGNC:30884]	1.405251	
SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1 [Source:HGNC Symbol;Acc:HGNC:10528]	1.403854	
EEA1	early endosome antigen 1 [Source:HGNC Symbol;Acc:HGNC:3185]	1.4028871	
UBL3	ubiquitin like 3 [Source:HGNC Symbol;Acc:HGNC:12504]	1.388726	
LMNB1	lamin B1 [Source:HGNC Symbol;Acc:HGNC:6637]	1.3883667	
RGS10	regulator of G protein signaling 10 [Source:HGNC Symbol;Acc:HGNC:9992]	1.3859273	
CD82	CD82 molecule [Source:HGNC Symbol;Acc:HGNC:6210]	1.3822407	
RUNX2	RUNX family transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10472]	1.3756078	
CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	1.3722419	
IKZF3	IKAROS family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13178]	1.3676196	
CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	1.3637078	
UCP2	uncoupling protein 2 [Source:HGNC Symbol;Acc:HGNC:12518]	1.3635602	
CMTM7	CKLF like MARVEL transmembrane domain containing 7 [Source:HGNC Symbol;Acc:HGNC:19178]	1.3569944	
KRT83	keratin 83 [Source:HGNC Symbol;Acc:HGNC:6460]	1.3565329	
UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]	1.3558937	
FNBP1	formin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17069]	1.3425648	
SLC35D1	solute carrier family 35 member D1 [Source:HGNC Symbol;Acc:HGNC:20800]	1.3317219	
DUSP16	dual specificity phosphatase 16 [Source:HGNC Symbol;Acc:HGNC:17909]	1.3275695	
AOPEP	aminopeptidase O (putative) [Source:HGNC Symbol;Acc:HGNC:1361]	1.3233097	
ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	1.3161268	
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6 [Source:HGNC Symbol;Acc:HGNC:222]	1.3156968	
MYO1F	myosin IF [Source:HGNC Symbol;Acc:HGNC:7600]	1.3120588	
CHST11	carbohydrate sulfotransferase 11 [Source:HGNC Symbol;Acc:HGNC:17422]	1.3073683	
FAM117B	family with sequence similarity 117 member B [Source:HGNC Symbol;Acc:HGNC:14440]	1.305453	
PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	1.2970327	
CCR6	C-C motif chemokine receptor 6 [Source:HGNC Symbol;Acc:HGNC:1607]	1.2909914	
TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	1.290376	
CYSLTR2	cysteinyl leukotriene receptor 2 [Source:HGNC Symbol;Acc:HGNC:18274]	1.2877024	
YBX3	Y-box binding protein 3 [Source:HGNC Symbol;Acc:HGNC:2428]	1.2818586	
TOX2	TOX high mobility group box family member 2 [Source:HGNC Symbol;Acc:HGNC:16095]	1.2816993	
IFITM1	interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]	1.2805924	
PPP1R16B	protein phosphatase 1 regulatory subunit 16B [Source:HGNC Symbol;Acc:HGNC:15850]	1.2784269	
ARF4	ADP ribosylation factor 4 [Source:HGNC Symbol;Acc:HGNC:655]	1.2743264	
REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	1.2593731	
SPTY2D1	SPT2 chromatin protein domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26818]	1.2568367	
GALNT2	polypeptide N-acetylgalactosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:4124]	1.2548469	
MPP7	MAGUK p55 scaffold protein 7 [Source:HGNC Symbol;Acc:HGNC:26542]	1.247752	
RNF125	ring finger protein 125 [Source:HGNC Symbol;Acc:HGNC:21150]	1.2442194	
MDFIC	MyoD family inhibitor domain containing [Source:HGNC Symbol;Acc:HGNC:28870]	1.2433629	
C15orf48	chromosome 15 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29898]	1.2426591	
DUSP4	dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]	1.2403486	
RILPL2	Rab interacting lysosomal protein like 2 [Source:HGNC Symbol;Acc:HGNC:28787]	1.2353911	
